Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
31963,266,5,21/03/2016 0:00,6029,
31964,748,2,21/03/2016 0:00,,
31965,748,5,21/03/2016 0:00,6029,
31966,7368,2,21/03/2016 0:00,,
31967,7258,2,21/03/2016 0:00,,
31968,7369,5,21/03/2016 0:00,10662,
31969,7369,2,21/03/2016 0:00,,
31970,4761,2,21/03/2016 0:00,,
31971,2026,2,21/03/2016 0:00,,
31972,7375,2,21/03/2016 0:00,,
31973,5856,2,21/03/2016 0:00,,
31974,7379,2,21/03/2016 0:00,,
31975,6495,5,21/03/2016 0:00,10668,
31976,7084,2,22/03/2016 0:00,,
31977,7084,5,22/03/2016 0:00,10671,
31978,7379,2,22/03/2016 0:00,,
31979,7370,3,22/03/2016 0:00,,
31980,7380,2,22/03/2016 0:00,,
31981,7375,5,22/03/2016 0:00,3856,
31982,7365,5,22/03/2016 0:00,3856,
31983,6460,2,22/03/2016 0:00,,
31984,7368,15,22/03/2016 0:00,,
31985,7293,5,22/03/2016 0:00,10652,
31986,7386,2,22/03/2016 0:00,,
31987,7362,2,22/03/2016 0:00,,
31988,7386,2,22/03/2016 0:00,,
31989,7386,2,22/03/2016 0:00,,
31990,7385,2,22/03/2016 0:00,,
31991,7384,2,22/03/2016 0:00,,
31992,7331,2,22/03/2016 0:00,,
31993,7383,2,22/03/2016 0:00,,
31994,7293,2,22/03/2016 0:00,,
31995,7382,2,22/03/2016 0:00,,
31996,7381,2,22/03/2016 0:00,,
31997,7321,2,22/03/2016 0:00,,
31998,7379,2,22/03/2016 0:00,,
31999,7375,2,22/03/2016 0:00,,
32000,7374,2,22/03/2016 0:00,,
32001,7360,2,22/03/2016 0:00,,
32002,7370,2,22/03/2016 0:00,,
32003,7369,2,22/03/2016 0:00,,
32004,7368,2,22/03/2016 0:00,,
32005,7307,2,22/03/2016 0:00,,
32006,7366,2,22/03/2016 0:00,,
32007,7367,2,22/03/2016 0:00,,
32009,7361,2,22/03/2016 0:00,,
32010,7364,2,22/03/2016 0:00,,
32011,7365,2,22/03/2016 0:00,,
32012,7362,2,22/03/2016 0:00,,
32013,7363,2,22/03/2016 0:00,,
32014,7359,2,22/03/2016 0:00,,
32015,7355,2,22/03/2016 0:00,,
32016,7356,2,22/03/2016 0:00,,
32017,7354,2,22/03/2016 0:00,,
32018,3954,2,22/03/2016 0:00,,
32019,7387,10,22/03/2016 0:00,,
32020,7386,2,22/03/2016 0:00,,
32021,7388,2,22/03/2016 0:00,,
32022,7386,2,22/03/2016 0:00,,
32023,7386,2,22/03/2016 0:00,,
32024,7293,2,23/03/2016 0:00,,
32025,7390,2,23/03/2016 0:00,,
32026,7370,2,23/03/2016 0:00,,
32027,7269,2,23/03/2016 0:00,,
32028,7375,2,23/03/2016 0:00,,
32029,6189,2,23/03/2016 0:00,,
32030,6189,5,23/03/2016 0:00,10436,
32031,6190,2,23/03/2016 0:00,,
32032,7390,2,23/03/2016 0:00,,
