Id,PostId,VoteTypeId,CreationDate,UserId
6299,1366,2,1389571200,
6300,1259,2,1389571200,
6301,1256,2,1389571200,
6302,1210,2,1389571200,
6303,1208,5,1389571200,1780
6304,1208,2,1389571200,
6305,1441,2,1389571200,
6306,1210,2,1389571200,
6307,1441,2,1389571200,
6308,1442,2,1389657600,
6309,1441,2,1389657600,
6310,1442,2,1389657600,
6311,1442,1,1389657600,
6312,1434,2,1389657600,
6313,1210,2,1389744000,
6314,1441,2,1389744000,
6315,1208,5,1389744000,1790
6316,1210,2,1389744000,
6317,1138,2,1389744000,
6318,1108,2,1389744000,
6319,1133,2,1389744000,
6320,1444,2,1389744000,
6322,1446,2,1389830400,
6324,1352,2,1389830400,
6325,1437,1,1389830400,
6326,1448,2,1389830400,
6327,1448,2,1389830400,
6328,1449,2,1389830400,
6329,1448,2,1389830400,
6330,1301,5,1389830400,1796
6331,1440,2,1389916800,
6332,1444,2,1389916800,
6333,797,2,1389916800,
6334,801,2,1389916800,
6335,266,5,1389916800,1797
6336,1256,2,1389916800,
6337,1259,2,1389916800,
6338,1448,2,1389916800,
6339,517,2,1389916800,
6340,1452,2,1389916800,
6341,1450,2,1389916800,
6342,1429,2,1390003200,
6343,266,5,1390003200,1808
6348,1435,2,1390089600,
6349,1453,2,1390089600,
6350,1454,2,1390089600,
6351,734,2,1390089600,
6353,1377,2,1390089600,
6354,1451,2,1390176000,
6355,1434,1,1390176000,
6356,1456,2,1390176000,
6357,621,2,1390176000,
6358,621,5,1390176000,1817
6359,1457,2,1390176000,
6360,266,5,1390176000,1818
6361,1457,2,1390176000,
6362,1458,2,1390176000,
6363,1455,2,1390176000,
6364,1280,2,1390262400,
6365,78,2,1390262400,
6366,300,2,1390262400,
6367,589,2,1390262400,
6368,78,16,1390262400,
6369,1453,2,1390262400,
6370,1455,2,1390262400,
6371,78,2,1390262400,
6372,617,2,1390262400,
6373,1454,2,1390262400,
6374,1208,2,1390262400,
6375,1458,2,1390262400,
6376,1256,5,1390262400,1827
6377,1326,5,1390262400,1827
6378,1244,5,1390262400,1827
6380,589,5,1390348800,1830
6381,266,5,1390348800,1830
6382,199,16,1390348800,
6383,295,16,1390348800,
6384,622,2,1390435200,
6385,631,2,1390435200,
6386,522,2,1390435200,
6387,529,2,1390435200,
6388,272,2,1390435200,
6389,582,2,1390435200,
6390,1399,2,1390435200,
6391,1379,2,1390435200,
